CropSeq	crop_no	day	precip	irrigation	evap	transpire	drainage	waterInSoil	plantwaterInSoil	droughtFactorPlant	droughtFactorSoil	LAI	NO3-N	Canopy
1	99	31	0	0	0.22	0	0.00023494389909331	92.7359140155054	5.00431881283896	0.111762780272915	0	0	7.35200487551674E-06	0
1	99	32	0	0	0.22	0	1.40966339442627E-05	92.5158999188714	4.78431881283896	0.150811489127877	0	0	4.47483804608817E-07	0
1	99	33	13.1612903225806	0	0.22	0	10.6841563104057	94.7730339310464	6.35948630073064	0	0	0	0.335013402101963	0
1	99	34	0	0	0.22	0	1.0877067065008	93.4653272245456	5.6643189306493	0	0	0	0.0310906815875188	0
1	99	35	0	0	0.22	0	0.0652624023900478	93.1800648221556	5.4443189306493	0.0336653416523458	0	0	0.00187381006995796	0
1	99	36	0	0	0.22	0	0.0039157441434034	92.9561490780122	5.2243189306493	0.0727140505073081	0	0	0.000114090057851295	0
1	99	37	0	0	0.22	0	0.000234944648602067	92.7359141333636	5.0043189306493	0.11176275936227	0	0	6.94975464803474E-06	0
1	99	38	0	0	0.22	0	1.40966789146546E-05	92.5159000366847	4.7843189306493	0.150811468217232	0	0	4.23291473188533E-07	0
1	99	39	13.1612903225806	0	0.22	0	10.6841564145056	94.7730339447597	6.35948630779926	0	0	0	0.317113188264311	0
1	99	40	0	0	0.22	0	1.08770671899263	93.4653272257671	5.66431893107342	0	0	0	0.0294511574647322	0
1	99	41	0	0	0.22	0	0.0652624031395565	93.1800648226275	5.44431893107342	0.0336653415770676	0	0	0.00177628577389044	0
1	99	42	0	0	0.22	0	0.00391574418837379	92.9561490784392	5.22431893107342	0.0727140504320298	0	0	0.000108228613100423	0
1	99	43	0	0	0.22	0	0.000234944651300424	92.7359141337879	5.00431893107342	0.111762759286992	0	0	6.59724760671816E-06	0
1	99	44	0	0	0.22	0	1.4096679074953E-05	92.5159000371088	4.78431893107342	0.150811468141954	0	0	4.02090806153771E-07	0
1	99	45	13.1612903225806	0	0.22	0	10.6841564148803	94.7730339448091	6.3594863078247	0	0	0	0.301427463995433	0
1	99	46	0	0	0.22	0	1.08770671903759	93.4653272257715	5.66431893107494	0	0	0	0.0280144638061291	0
1	99	47	0	0	0.24	0	0.0652624031422549	93.1600648226292	5.42431893107494	0.0372152241999751	0	0	0.00169118949584118	0
1	99	48	0	0	0.24	0	0.00391574418853409	92.9161490784407	5.18431893107494	0.0798138156781157	0	0	0.000103136670799827	0
1	99	49	0	0	0.24	0	0.000234944651313782	92.6759141337894	4.94431893107494	0.122412407156256	0	0	6.29242042547399E-06	0
