Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
19	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.9575	84.7102	0	10	0	0	0	0	33.7291	0	0	0	0	0	0	0	0	0	0.9471	0	0	0	1.7048	0	0	0	0.9471	92.8299	32.9575	754.8065	0	362.199	0	16	11	20	15	11	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1016.5212	-3111272.9854	-84.7102	0	0	0	7255
20	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.2072	82.7223	0	10	0	0	0	0	32.9575	0	0	0	0	0	0	0	0	0	0.9272	0	0	0	1.669	0	0	0	0.9272	90.8764	32.2072	754.8065	0	362.4311	0	16	11	21	15	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	992.6674	-3210539.7221	-82.7223	0	0	0	7620
21	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.4776	80.7822	0	10	0	0	0	0	32.2072	0	0	0	0	0	0	0	0	0	0.9078	0	0	0	1.6341	0	0	0	0.9078	88.97	31.4776	754.8065	0	362.657	0	16	11	22	15	11	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	969.3867	-3307478.3947	-80.7822	0	0	0	7985
22	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.768	78.8888	0	10	0	0	0	0	31.4776	0	0	0	0	0	0	0	0	0	0.8889	0	0	0	1.6	0	0	0	0.8889	87.1095	30.768	754.8065	0	362.877	0	16	11	23	15	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	946.6656	-3402144.9525	-78.8888	0	0	0	8350
23	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.0778	77.0409	0	10	0	0	0	0	30.768	0	0	0	0	0	0	0	0	0	0.8704	0	0	0	1.5667	0	0	0	0.8704	85.2939	30.0778	754.8065	0	363.0911	0	16	11	24	15	11	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	924.4905	-3494594.0037	-77.0409	0	0	0	8715
24	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.4065	75.2374	0	10	0	0	0	0	30.0778	0	0	0	0	0	0	0	0	0	0.8524	0	0	0	1.5343	0	0	0	0.8524	83.522	29.4065	754.8065	0	363.2997	0	16	11	25	15	11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	902.8484	-3584878.8475	-75.2374	0	0	0	9080
25	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.7535	73.4772	0	10	0	0	0	0	29.4065	0	0	0	0	0	0	0	0	0	0.8348	0	0	0	1.5026	0	0	0	0.8348	81.7929	28.7535	754.8065	0	363.5027	0	16	11	26	15	11	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	881.7266	-3673051.5052	-73.4772	0	0	0	9445
26	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.1181	71.7594	0	10	0	0	0	0	28.7535	0	0	0	0	0	0	0	0	0	0.8176	0	0	0	1.4717	0	0	0	0.8176	80.1055	28.1181	754.8065	0	363.7005	0	16	11	27	15	11	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	861.1125	-3759162.7508	-71.7594	0	0	0	9810
27	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4999	70.0828	0	10	0	0	0	0	28.1181	0	0	0	0	0	0	0	0	0	0.8008	0	0	0	1.4415	0	0	0	0.8008	78.4587	27.4999	754.8065	0	363.8931	0	16	11	28	15	11	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	840.9939	-3843262.141	-70.0828	0	0	0	10175
28	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8984	68.4466	0	10	0	0	0	0	27.4999	0	0	0	0	0	0	0	0	0	0.7845	0	0	0	1.412	0	0	0	0.7845	76.8516	26.8984	754.8065	0	364.0807	0	16	11	29	15	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	821.359	-3925398.0438	-68.4466	0	0	0	10540
