Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
19	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5442	9.3167	0	10	0	0	0	0	5.5965	0	0	0	0	0	0	0	0	0	0.1932	0	0	0	0.3477	0	0	0	0.1932	18.8282	5.5442	754.8065	0	370.8019	0	16	11	20	15	11	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	111.8008	-270941.3431	-9.3167	0	0	0	7255
20	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4932	9.1427	0	10	0	0	0	0	5.5442	0	0	0	0	0	0	0	0	0	0.1914	0	0	0	0.3446	0	0	0	0.1914	18.6578	5.4932	754.8065	0	370.8244	0	16	11	21	15	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	109.7129	-281912.6337	-9.1427	0	0	0	7620
21	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4434	8.9729	0	10	0	0	0	0	5.4932	0	0	0	0	0	0	0	0	0	0.1897	0	0	0	0.3415	0	0	0	0.1897	18.4915	5.4434	754.8065	0	370.8464	0	16	11	22	15	11	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	107.6752	-292680.1575	-8.9729	0	0	0	7985
22	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3948	8.8072	0	10	0	0	0	0	5.4434	0	0	0	0	0	0	0	0	0	0.1881	0	0	0	0.3385	0	0	0	0.1881	18.3292	5.3948	754.8065	0	370.8679	0	16	11	23	15	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	105.6866	-303248.8132	-8.8072	0	0	0	8350
23	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3475	8.6455	0	10	0	0	0	0	5.3948	0	0	0	0	0	0	0	0	0	0.1865	0	0	0	0.3356	0	0	0	0.1865	18.1708	5.3475	754.8065	0	370.8891	0	16	11	24	15	11	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	103.7457	-313623.3814	-8.6455	0	0	0	8715
24	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3012	8.4876	0	10	0	0	0	0	5.3475	0	0	0	0	0	0	0	0	0	0.1849	0	0	0	0.3328	0	0	0	0.1849	18.0162	5.3012	754.8065	0	370.9099	0	16	11	25	15	11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	101.8515	-323808.5272	-8.4876	0	0	0	9080
25	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2561	8.3336	0	10	0	0	0	0	5.3012	0	0	0	0	0	0	0	0	0	0.1833	0	0	0	0.33	0	0	0	0.1833	17.8653	5.2561	754.8065	0	370.9303	0	16	11	26	15	11	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	100.0028	-333808.8034	-8.3336	0	0	0	9445
26	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2121	8.1832	0	10	0	0	0	0	5.2561	0	0	0	0	0	0	0	0	0	0.1818	0	0	0	0.3273	0	0	0	0.1818	17.7181	5.2121	754.8065	0	370.9503	0	16	11	27	15	11	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	98.1985	-343628.6528	-8.1832	0	0	0	9810
27	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1691	8.0365	0	10	0	0	0	0	5.2121	0	0	0	0	0	0	0	0	0	0.1804	0	0	0	0.3247	0	0	0	0.1804	17.5744	5.1691	754.8065	0	370.97	0	16	11	28	15	11	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	96.4376	-353272.4111	-8.0365	0	0	0	10175
28	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1272	7.8932	0	10	0	0	0	0	5.1691	0	0	0	0	0	0	0	0	0	0.1789	0	0	0	0.3221	0	0	0	0.1789	17.4342	5.1272	754.8065	0	370.9893	0	16	11	29	15	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	94.719	-362744.3094	-7.8932	0	0	0	10540
29	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0863	7.7535	0	10	0	0	0	0	5.1272	0	0	0	0	0	0	0	0	0	0.1775	0	0	0	0.3196	0	0	0	0.1775	17.2973	5.0863	754.8065	0	371.0082	0	16	11	30	15	11	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	93.0417	-372048.4767	-7.7535	0	0	0	10905
