CropSeqID	startDay	endDay	FOMCStoredStart	HUMCStoredStart	ROMCStoredStart	BiocharCStoredStart	FOMnStoredStart	HUMnStoredStart	ROMnStoredStart	FOMC_InputThisCrop	HUMC_InputThisCrop	BiocharC_InputThisCrop	CO2Emission	balance	FOMCStoredEnd	HUMCStoredEnd	ROMCStoredEnd	BiocharCStoredEnd	SoilOrganicCarbon	FOMnStoredEnd	HUMnStoredEnd	ROMnStoredEnd	Total_soil_N	FOMNInput	HUMNInput	Nmin	Org_N_leached	NStart	Nend	FOMnmineralised
CropSeqID	day	day	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha	MgN/ha	MgN/ha/period
1	-24865	-24501	6460.46311803797	72425.8388978306	79487.4143061735	0	490.328984518985	6035.48657481922	6623.95119218113	6599.99999999998	0	0	6767.08985125205	8.73114913702011E-11	6460.46311803797	72253.8037214392	79492.3596313129	0	158206.62647079	490.328984518977	6021.15031011993	6624.36330260941	13135.8425972483	440.000000000003	0	453.924154271019	0	13149.7667515193	13135.8425972483	440
1	-24500	-24136	6460.46311803797	72253.8037214392	79492.3596313129	0	490.328984518977	6021.15031011993	6624.36330260941	6599.99999999998	0	0	6764.19159705541	1.74622982740402E-10	6460.46311803797	72084.7233497385	79497.248405958	0	158042.434873734	490.328984518974	6007.06027914487	6624.7707004965	13122.1599641603	440.000000000003	0	453.682633087974	0	13135.8425972483	13122.1599641603	440
1	-24135	-23771	6460.46311803797	72084.7233497385	79497.248405958	0	490.328984518974	6007.06027914487	6624.7707004965	6599.99999999998	0	0	6761.34309988645	1.16415321826935E-10	6460.46311803797	71918.5470615456	79502.0815942643	0	157881.091773848	490.328984518973	5993.2122551288	6625.17346618869	13108.7147058365	440.000000000003	0	453.445258323884	0	13122.1599641603	13108.7147058365	440
1	-23770	-23406	6460.46311803797	71918.5470615456	79502.0815942643	0	490.328984518973	5993.2122551288	6625.17346618869	6599.99999999998	0	0	6758.54350641204	1.45519152283669E-10	6460.46311803797	71755.2250055446	79506.8601438531	0	157722.548267436	490.328984518973	5979.60208379538	6625.57167865442	13095.5027469688	440.000000000003	0	453.211958867685	0	13108.7147058365	13095.5027469688	440
1	-23405	-23041	6460.46311803797	71755.2250055446	79506.8601438531	0	490.328984518973	5979.60208379538	6625.57167865442	6599.99999999998	0	0	6755.7919779124	2.03726813197136E-10	6460.46311803797	71594.7081853898	79511.5849860952	0	157566.756289523	490.328984518973	5966.22568211582	6625.96541550793	13082.5200821427	440.000000000003	0	452.982664826055	0	13095.5027469688	13082.5200821427	440
1	-23040	-22676	6460.46311803797	71594.7081853898	79511.5849860952	0	490.328984518973	5966.22568211582	6625.96541550793	6599.99999999998	0	0	6753.08769003113	5.82076609134674E-11	6460.46311803797	71436.9484450645	79516.2570363892	0	157413.668599492	490.328984518973	5953.07903708871	6626.35475303244	13069.7627746401	440.000000000003	0	452.757307502605	0	13082.5200821427	13069.7627746401	440
1	-22675	-22311	6460.46311803797	71436.9484450645	79516.2570363892	0	490.328984518973	5953.07903708871	6626.35475303244	6599.99999999998	0	0	6750.42983253099	-2.91038304567337E-11	6460.46311803797	71281.898454488	79520.8771944348	0	157263.238766961	490.328984518973	5940.15820454066	6626.7397662029	13057.2269552625	440.000000000003	0	452.535819377586	0	13069.7627746401	13057.2269552625	440
1	-22310	-21946	6460.46311803797	71281.898454488	79520.8771944348	0	490.328984518973	5940.15820454066	6626.7397662029	6599.99999999998	0	0	6747.81760905093	2.91038304567337E-11	6460.46311803797	71129.5116953702	79525.4463445017	0	157115.42115791	490.328984518973	5927.45930794751	6627.12052870847	13044.908821175	440.000000000003	0	452.318134087584	0	13057.2269552625	13044.908821175	440
1	-21945	-21581	6460.46311803797	71129.5116953702	79525.4463445017	0	490.328984518973	5927.45930794751	6627.12052870847	6599.99999999998	0	0	6745.25023687049	1.16415321826935E-10	6460.46311803797	70979.7424473077	79529.9653556935	0	156970.170921039	490.328984518973	5914.97853727564	6627.49711297446	13032.8046347691	440.000000000003	0	452.104186405886	0	13044.908821175	13032.8046347691	440
1	-21580	-21216	6460.46311803797	70979.7424473077	79529.9653556935	0	490.328984518973	5914.97853727564	6627.49711297446	6599.99999999998	0	0	6742.72694667555	1.74622982740402E-10	6460.46311803797	70832.5457741166	79534.4350822088	0	156827.443974363	490.328984518973	5902.71214784305	6627.86959018407	13020.9107225461	440.000000000003	0	451.89391222298	0	13032.8046347691	13020.9107225461	440
1	-21215	-20851	6460.46311803797	70832.5457741166	79534.4350822088	0	490.328984518973	5902.71214784305	6627.86959018407	6599.99999999998	0	0	6740.24698233003	1.45519152283669E-10	6460.46311803797	70687.8775103999	79538.8563635953	0	156687.196992033	490.328984518973	5890.65645919999	6628.23803029961	13009.2234740186	440.000000000003	0	451.687248527516	0	13020.9107225461	13009.2234740186	440
1	-20850	-20486	6460.46311803797	70687.8775103999	79538.8563635953	0	490.328984518973	5890.65645919999	6628.23803029961	6599.99999999998	0	0	6737.80960065021	-2.91038304567337E-11	6460.46311803797	70545.6942483439	79543.2300250011	0	156549.387391383	490.328984518973	5878.80785402866	6628.60250208343	12997.7393406311	440.000000000003	0	451.484133387521	0	13009.2234740186	12997.7393406311	440
